id,plotRowNum,plotColumnNum,testName,entryNo,strain,plotRows,repNum,block
plot207,43,2,Border,107,B1000,2,0,1
plot208,44,2,Border,108,B1000,2,0,1
plot209,45,2,Border,109,B1000,2,0,1
plot210,46,2,Border,110,B1000,2,0,1
plot211,47,2,Border,111,B1000,2,0,1
plot212,48,2,Border,112,B1000,2,0,1
plot213,49,2,Border,113,B1000,2,0,1
plot214,50,2,Border,114,B1000,2,0,1
plot215,51,2,Border,115,B1000,2,0,1
plot216,52,2,Border,116,B1000,2,0,1
plot217,53,2,Border,117,B1000,2,0,1
plot218,54,2,Border,118,B1000,2,0,1
plot219,55,2,Border,119,B1000,2,0,1
plot220,56,2,Border,120,B1000,2,0,1
plot221,57,2,Border,121,B1000,2,0,1
plot222,58,2,Border,122,B1000,2,0,1
plot223,59,2,Border,123,B1000,2,0,1
plot224,60,2,Border,124,B1000,2,0,1
plot225,61,2,Border,125,B1000,2,0,1
plot226,62,2,Border,126,B1000,2,0,1
plot227,63,2,Border,127,B1000,2,0,1
plot228,64,2,Border,128,B1000,2,0,1
plot229,1,3,Border,129,B1000,2,0,1
plot230,2,3,Border,130,B1000,2,0,1
plot231,3,3,2HYldAD,36,SB1923737,2,2,1
plot232,4,3,2HYldAD,2,SBCH15423,2,2,1
plot233,5,3,2HYldAD,25,SB1923735,2,2,1
plot234,6,3,2HYldAD,10,SB1923838,2,2,1
plot235,7,3,2HYldAD,16,SB1923335,2,2,1
plot236,8,3,2HYldAD,6,SB1923636,2,2,1
plot237,1,4,Border,131,B1000,2,0,1
plot238,2,4,Border,132,B1000,2,0,1
plot239,3,4,2HYldAD,12,SB1923433,2,2,1
plot240,4,4,2HYldAD,5,SB1923738,2,2,1
plot241,5,4,2HYldAD,21,SB1923536,2,2,1
plot242,6,4,2HYldAD,29,SB1923538,2,2,1
plot243,7,4,2HYldAD,28,SB1923434,2,2,1
plot244,8,4,2HYldAD,4,SB1923734,2,2,1
plot245,1,5,Border,133,B1000,2,0,1
plot246,2,5,Border,134,B1000,2,0,1
plot247,3,5,2HYldAD,11,SB1923537,2,2,1
plot248,4,5,2HYldAD,27,SB1923733,2,2,1
plot249,5,5,2HYldAD,3,SBCH15535,2,2,1
plot250,6,5,2HYldAD,19,SB1923437,2,2,1
plot251,7,5,2HYldAD,22,SB1923534,2,2,1
plot252,8,5,2HYldAD,1,SBCH15815,2,2,1
plot253,1,6,Border,135,B1000,2,0,1
plot254,2,6,Border,136,B1000,2,0,1
plot255,3,6,2HYldAD,8,SB1923736,2,2,1
plot256,4,6,2HYldAD,7,SB1923837,2,2,1
plot257,5,6,2HYldAD,18,SB1923336,2,2,1
plot258,6,6,2HYldAD,24,SB1923633,2,2,1
plot259,7,6,2HYldAD,26,SB1923338,2,2,1
plot260,8,6,2HYldAD,13,SB1923535,2,2,1
plot261,1,7,Border,137,B1000,2,0,1
plot262,2,7,Border,138,B1000,2,0,1
plot263,3,7,2HYldAD,35,SB1923835,2,2,1
plot264,4,7,2HYldAD,34,SB1923435,2,2,1
plot265,5,7,2HYldAD,14,SB1923637,2,2,1
plot266,6,7,2HYldAD,32,SB1923638,2,2,1
plot267,7,7,2HYldAD,31,SB1923436,2,2,1
plot268,8,7,2HYldAD,9,SB1923438,2,2,1
plot269,1,8,Border,139,B1000,2,0,1
plot270,2,8,Border,140,B1000,2,0,1
plot271,3,8,2HYldAD,17,SB1923533,2,2,1
plot272,4,8,2HYldAD,23,SB1923834,2,2,1
plot273,5,8,2HYldAD,33,SB1923634,2,2,1
plot274,6,8,2HYldAD,30,SB1923833,2,2,1
plot275,7,8,2HYldAD,20,SB1923337,2,2,1
plot276,8,8,2HYldAD,15,SB1923836,2,2,1
plot277,9,3,2HYldX,14,SB1924235,2,2,1
plot278,10,3,2HYldX,17,SB1924234,2,2,1
plot279,11,3,2HYldX,12,SB1924034,2,2,1
plot280,12,3,2HYldX,33,SB1924138,2,2,1
plot281,13,3,2HYldX,22,SB1924236,2,2,1
plot282,14,3,2HYldX,36,SB1924137,2,2,1
plot283,9,4,2HYldX,9,SB1923933,2,2,1
plot284,10,4,2HYldX,4,SB1924237,2,2,1
plot285,11,4,2HYldX,18,SB1924336,2,2,1
plot286,12,4,2HYldX,21,SB1924133,2,2,1
plot287,13,4,2HYldX,11,SB1924334,2,2,1
plot288,14,4,2HYldX,5,SB1924036,2,2,1
plot289,9,5,2HYldX,32,SB1924135,2,2,1
plot290,10,5,2HYldX,26,SB1924435,2,2,1
plot291,11,5,2HYldX,23,SB1924337,2,2,1
plot292,12,5,2HYldX,10,SB1924434,2,2,1
plot293,13,5,2HYldX,7,SB1923935,2,2,1
plot294,14,5,2HYldX,30,SB1924433,2,2,1
plot295,9,6,2HYldX,13,SB1923938,2,2,1
plot296,10,6,2HYldX,6,SB1924335,2,2,1
plot297,11,6,2HYldX,1,SBCH15815,2,2,1
plot298,12,6,2HYldX,25,SB1924436,2,2,1
plot299,13,6,2HYldX,29,SB1923934,2,2,1
plot300,14,6,2HYldX,34,SB1924438,2,2,1
plot301,9,7,2HYldX,24,SB1924134,2,2,1
plot302,10,7,2HYldX,19,SB1924338,2,2,1
plot303,11,7,2HYldX,28,SB1924037,2,2,1
plot304,12,7,2HYldX,3,SBCH15535,2,2,1
plot305,13,7,2HYldX,2,SBCH15423,2,2,1
plot306,14,7,2HYldX,16,SB1923936,2,2,1
plot307,9,8,2HYldX,8,SB1924033,2,2,1
plot308,10,8,2HYldX,31,SB1924437,2,2,1
plot309,11,8,2HYldX,20,SB1924136,2,2,1
plot310,12,8,2HYldX,35,SB1924333,2,2,1
plot311,13,8,2HYldX,27,SB1924233,2,2,1
plot312,14,8,2HYldX,15,SB1924035,2,2,1
plot313,24,3,2HYldA,4,SB192243,2,1,1
plot314,26,4,2HYldA,5,SB192264,2,1,1
plot315,17,3,2HYldAC,2,SBCH15423,2,1,1
plot316,24,5,2HYldA,6,SB192245,2,1,1
plot317,26,6,2HYldA,7,SB192266,2,1,1
plot318,25,8,2HYldA,8,SB192258,2,1,1
plot319,15,4,2HYldAC,1,SBCH15815,2,1,1
plot320,22,6,2HYldA,9,SB192226,2,1,1
plot321,26,8,2HYldA,10,SB192268,2,1,1
plot322,23,3,2HYldA,11,SB192233,2,1,1
plot323,22,4,2HYldA,12,SB192224,2,1,1
plot324,22,7,2HYldA,13,SB192227,2,1,1
plot325,23,7,2HYldA,14,SB192237,2,1,1
plot326,24,7,2HYldA,15,SB192247,2,1,1
plot327,25,6,2HYldA,16,SB192256,2,1,1
plot328,21,8,2HYldA,17,SB192218,2,1,1
plot329,21,7,2HYldA,18,SB192217,2,1,1
plot330,25,4,2HYldA,19,SB192254,2,1,1
plot331,21,3,2HYldA,20,SB192213,2,1,1
plot332,24,6,2HYldA,21,SB192246,2,1,1
plot333,24,8,2HYldA,22,SB192248,2,1,1
plot334,26,5,2HYldA,23,SB192265,2,1,1
plot335,21,4,2HYldA,24,SB192214,2,1,1
plot336,22,5,2HYldA,25,SB192225,2,1,1
plot337,21,5,2HYldA,26,SB192215,2,1,1
plot338,21,6,2HYldA,27,SB192216,2,1,1
plot339,26,3,2HYldA,28,SB192263,2,1,1
plot340,22,3,2HYldA,29,SB192223,2,1,1
plot341,26,7,2HYldA,30,SB192267,2,1,1
plot342,22,8,2HYldA,31,SB192228,2,1,1
plot343,23,4,2HYldA,32,SB192234,2,1,1
plot344,23,8,2HYldA,33,SB192238,2,1,1
plot345,25,3,2HYldA,34,SB192253,2,1,1
plot346,23,6,2HYldA,35,SB192236,2,1,1
plot347,19,8,2HYldAC,3,SBCH15535,2,1,1
plot348,23,5,2HYldA,36,SB192235,2,1,1
plot349,26,15,2HYldAA,4,SB1922615,2,1,3
plot350,23,18,2HYldAA,5,SB1922318,2,1,3
plot351,26,16,2HYldAA,6,SB1922616,2,1,3
plot352,24,16,2HYldAA,7,SB1922416,2,1,3
plot353,25,20,2HYldAA,8,SB1922520,2,1,3
plot354,22,17,2HYldAA,9,SB1922217,2,1,3
plot355,21,15,2HYldAA,10,SB1922115,2,1,3
plot356,21,16,2HYldAA,11,SB1922116,2,1,3
plot357,21,19,2HYldAA,12,SB1922119,2,1,3
plot358,24,4,2HYldA,2,SBCH15423,2,1,1
plot359,22,18,2HYldAA,13,SB1922218,2,1,3
plot360,25,17,2HYldAA,14,SB1922517,2,1,3
plot361,25,18,2HYldAA,15,SB1922518,2,1,3
plot362,24,15,2HYldAA,16,SB1922415,2,1,3
plot363,21,20,2HYldAA,17,SB1922120,2,1,3
plot364,23,15,2HYldAA,18,SB1922315,2,1,3
plot365,25,5,2HYldA,1,SBCH15815,2,1,1
plot366,23,20,2HYldAA,19,SB1922320,2,1,3
plot367,21,18,2HYldAA,20,SB1922118,2,1,3
plot368,24,19,2HYldAA,21,SB1922419,2,1,3
plot369,25,15,2HYldAA,22,SB1922515,2,1,3
plot370,24,20,2HYldAA,23,SB1922420,2,1,3
plot371,24,18,2HYldAA,24,SB1922418,2,1,3
plot372,23,17,2HYldAA,25,SB1922317,2,1,3
plot373,21,17,2HYldAA,26,SB1922117,2,1,3
plot374,22,20,2HYldAA,27,SB1922220,2,1,3
plot375,26,17,2HYldAA,28,SB1922617,2,1,3
plot376,22,15,2HYldAA,29,SB1922215,2,1,3
plot377,25,7,2HYldA,3,SBCH15535,2,1,1
plot378,25,19,2HYldAA,30,SB1922519,2,1,3
plot379,23,16,2HYldAA,31,SB1922316,2,1,3
plot380,26,18,2HYldAA,32,SB1922618,2,1,3
plot381,22,19,2HYldAA,33,SB1922219,2,1,3
plot382,23,19,2HYldAA,34,SB1922319,2,1,3
plot383,24,17,2HYldAA,35,SB1922417,2,1,3
plot384,26,20,2HYldAA,36,SB1922620,2,1,3
plot385,27,3,2HYldL,11,SB1924024,2,2,1
plot386,28,3,2HYldL,15,SB1924422,2,2,1
plot387,29,3,2HYldL,19,SB1924023,2,2,1
plot388,30,3,2HYldL,12,SB1924226,2,2,1
plot389,31,3,2HYldL,22,SB1924126,2,2,1
plot390,32,3,2HYldL,5,SB1924323,2,2,1
plot391,27,4,2HYldL,31,SB1924121,2,2,1
plot392,28,4,2HYldL,20,SB1923926,2,2,1
plot393,29,4,2HYldL,6,SB1924025,2,2,1
plot394,30,4,2HYldL,36,SB1924423,2,2,1
plot395,31,4,2HYldL,18,SB1923924,2,2,1
plot396,32,4,2HYldL,34,SB1924122,2,2,1
plot397,27,5,2HYldL,7,SB1924224,2,2,1
plot398,28,5,2HYldL,14,SB1923922,2,2,1
plot399,29,5,2HYldL,25,SB1924325,2,2,1
plot400,30,5,2HYldL,13,SB1924424,2,2,1
plot401,31,5,2HYldL,28,SB1924021,2,2,1
plot402,32,5,2HYldL,29,SB1924421,2,2,1
plot403,27,6,2HYldL,32,SB1924225,2,2,1
plot404,28,6,2HYldL,30,SB1924324,2,2,1
plot405,29,6,2HYldL,27,SB1924125,2,2,1
plot406,30,6,2HYldL,33,SB1924326,2,2,1
plot407,31,6,2HYldL,4,SB1924124,2,2,1
plot408,32,6,2HYldL,8,SB1924026,2,2,1
plot409,27,7,2HYldL,3,SBCH15535,2,2,1
plot410,28,7,2HYldL,2,SBCH15423,2,2,1
plot411,29,7,2HYldL,1,SBCH15815,2,2,1
plot412,30,7,2HYldL,10,SB1924223,2,2,1
plot413,31,7,2HYldL,16,SB1924222,2,2,1
plot414,32,7,2HYldL,17,SB1923923,2,2,1
plot415,27,8,2HYldL,26,SB1924022,2,2,1
plot416,28,8,2HYldL,21,SB1924321,2,2,1
plot417,29,8,2HYldL,35,SB1924322,2,2,1
plot418,30,8,2HYldL,9,SB1924221,2,2,1
plot419,31,8,2HYldL,23,SB1924426,2,2,1
plot420,32,8,2HYldL,24,SB1924425,2,2,1
plot421,57,23,2HYldAB,4,SB1925723,2,1,4
plot422,59,25,2HYldAB,5,SB1925925,2,1,4
plot423,62,22,2HYldAB,6,SB1926222,2,1,4
plot424,61,23,2HYldAB,7,SB1926123,2,1,4
plot425,61,24,2HYldAB,8,SB1926124,2,1,4
plot426,57,24,2HYldAB,9,SB1925724,2,1,4
plot427,57,26,2HYldAB,10,SB1925726,2,1,4
plot428,62,23,2HYldAB,11,SB1926223,2,1,4
plot429,59,22,2HYldAB,12,SB1925922,2,1,4
plot430,57,21,2HYldAB,13,SB1925721,2,1,4
plot431,59,21,2HYldAB,14,SB1925921,2,1,4
plot432,61,22,2HYldAB,15,SB1926122,2,1,4
plot433,58,25,2HYldAB,16,SB1925825,2,1,4
plot434,61,26,2HYldAB,17,SB1926126,2,1,4
plot435,59,24,2HYldAB,18,SB1925924,2,1,4
plot436,58,22,2HYldAB,19,SB1925822,2,1,4
plot437,37,5,2HYldN,3,SBCH15535,2,1,1
plot438,38,5,2HYldN,2,SBCH15423,2,1,1
plot439,62,26,2HYldAB,20,SB1926226,2,1,4
plot440,58,24,2HYldAB,21,SB1925824,2,1,4
plot441,60,24,2HYldAB,22,SB1926024,2,1,4
plot442,58,21,2HYldAB,23,SB1925821,2,1,4
plot443,59,23,2HYldAB,24,SB1925923,2,1,4
plot444,62,24,2HYldAB,25,SB1926224,2,1,4
plot445,33,7,2HYldN,1,SBCH15815,2,1,1
plot446,61,21,2HYldAB,26,SB1926121,2,1,4
plot447,59,26,2HYldAB,27,SB1925926,2,1,4
plot448,61,25,2HYldAB,28,SB1926125,2,1,4
plot449,62,25,2HYldAB,29,SB1926225,2,1,4
plot450,60,25,2HYldAB,30,SB1926025,2,1,4
plot451,60,26,2HYldAB,31,SB1926026,2,1,4
plot452,60,23,2HYldAB,32,SB1926023,2,1,4
plot453,62,21,2HYldAB,33,SB1926221,2,1,4
plot454,57,25,2HYldAB,34,SB1925725,2,1,4
plot455,60,22,2HYldAB,35,SB1926022,2,1,4
plot456,57,22,2HYldAB,36,SB1925722,2,1,4
plot457,39,3,2HYldF,17,SB192413,2,2,1
plot458,40,3,2HYldF,10,SB192411,2,2,1
plot459,41,3,2HYldF,31,SB192812,2,2,1
plot460,42,3,2HYldF,13,SB192414,2,2,1
plot461,43,3,2HYldF,23,SB19239,2,2,1
plot462,44,3,2HYldF,21,SB192311,2,2,1
plot463,39,4,2HYldF,33,SB192314,2,2,1
plot464,40,4,2HYldF,22,SB192810,2,2,1
plot465,41,4,2HYldF,18,SB192410,2,2,1
plot466,42,4,2HYldF,25,SB192512,2,2,1
plot467,43,4,2HYldF,5,SB19289,2,2,1
plot468,44,4,2HYldF,35,SB192510,2,2,1
plot469,39,5,2HYldF,11,SB192313,2,2,1
plot470,40,5,2HYldF,19,SB192612,2,2,1
plot471,41,5,2HYldF,3,SBCH15535,2,2,1
plot472,42,5,2HYldF,30,SB192312,2,2,1
plot473,43,5,2HYldF,9,SB192614,2,2,1
plot474,44,5,2HYldF,2,SBCH15423,2,2,1
plot475,39,6,2HYldF,29,SB192610,2,2,1
plot476,40,6,2HYldF,7,SB192714,2,2,1
plot477,41,6,2HYldF,36,SB192814,2,2,1
plot478,42,6,2HYldF,6,SB192811,2,2,1
plot479,43,6,2HYldF,32,SB192613,2,2,1
plot480,44,6,2HYldF,34,SB192611,2,2,1
plot481,39,7,2HYldF,20,SB19249,2,2,1
plot482,40,7,2HYldF,24,SB192712,2,2,1
plot483,41,7,2HYldF,12,SB19279,2,2,1
plot484,42,7,2HYldF,26,SB192713,2,2,1
plot485,43,7,2HYldF,15,SB192514,2,2,1
plot486,44,7,2HYldF,27,SB192711,2,2,1
plot487,39,8,2HYldF,14,SB192412,2,2,1
plot488,40,8,2HYldF,4,SB19259,2,2,1
plot489,41,8,2HYldF,16,SB192513,2,2,1
plot490,42,8,2HYldF,1,SBCH15815,2,2,1
plot491,43,8,2HYldF,8,SB192310,2,2,1
plot492,44,8,2HYldF,28,SB192710,2,2,1
plot493,45,3,2HYldD,35,SB1921126,2,2,1
plot494,46,3,2HYldD,12,SB1921324,2,2,1
plot495,47,3,2HYldD,3,SBCH15535,2,2,1
plot496,48,3,2HYldD,25,SB1921124,2,2,1
plot497,49,3,2HYldD,6,SB192922,2,2,1
plot498,50,3,2HYldD,28,SB192925,2,2,1
plot499,45,4,2HYldD,33,SB1921026,2,2,1
plot500,46,4,2HYldD,23,SB1921322,2,2,1
plot501,47,4,2HYldD,7,SB1921424,2,2,1
plot502,48,4,2HYldD,30,SB1921225,2,2,1
plot503,49,4,2HYldD,21,SB1921121,2,2,1
plot504,50,4,2HYldD,13,SB192924,2,2,1
plot505,45,5,2HYldD,4,SB1921326,2,2,1
plot506,46,5,2HYldD,24,SB1921325,2,2,1
plot507,47,5,2HYldD,34,SB1921226,2,2,1
plot508,48,5,2HYldD,26,SB1921323,2,2,1
plot509,49,5,2HYldD,5,SB1921125,2,2,1
plot510,50,5,2HYldD,14,SB192923,2,2,1
plot511,45,6,2HYldD,31,SB1921321,2,2,1
plot512,46,6,2HYldD,8,SB1921022,2,2,1
plot513,47,6,2HYldD,36,SB1921024,2,2,1
plot514,48,6,2HYldD,18,SB1921423,2,2,1
plot515,49,6,2HYldD,1,SBCH15815,2,2,1
plot516,50,6,2HYldD,2,SBCH15423,2,2,1
plot517,45,7,2HYldD,20,SB1921422,2,2,1
plot518,46,7,2HYldD,29,SB1921221,2,2,1
plot519,47,7,2HYldD,11,SB192921,2,2,1
plot520,48,7,2HYldD,32,SB1921025,2,2,1
plot521,49,7,2HYldD,9,SB1921426,2,2,1
plot522,50,7,2HYldD,16,SB192926,2,2,1
plot523,45,8,2HYldD,27,SB1921421,2,2,1
plot524,46,8,2HYldD,10,SB1921123,2,2,1
plot525,47,8,2HYldD,15,SB1921223,2,2,1
plot526,48,8,2HYldD,17,SB1921122,2,2,1
plot527,49,8,2HYldD,19,SB1921023,2,2,1
plot528,50,8,2HYldD,22,SB1921425,2,2,1
plot529,18,7,2HYldAC,4,SB192187,2,1,1
plot530,15,3,2HYldAC,5,SB192153,2,1,1
plot531,53,3,2HYldS,3,SBCH15535,2,1,1
plot532,20,5,2HYldAC,6,SB192205,2,1,1
plot533,19,4,2HYldAC,7,SB192194,2,1,1
plot534,20,7,2HYldAC,8,SB192207,2,1,1
plot535,17,4,2HYldAC,9,SB192174,2,1,1
plot536,16,3,2HYldAC,10,SB192163,2,1,1
plot537,20,3,2HYldAC,11,SB192203,2,1,1
plot538,16,4,2HYldAC,12,SB192164,2,1,1
plot539,55,4,2HYldS,2,SBCH15423,2,1,1
plot540,19,7,2HYldAC,13,SB192197,2,1,1
plot541,20,8,2HYldAC,14,SB192208,2,1,1
plot542,20,4,2HYldAC,15,SB192204,2,1,1
plot543,18,3,2HYldAC,16,SB192183,2,1,1
plot544,16,5,2HYldAC,17,SB192165,2,1,1
plot545,18,6,2HYldAC,18,SB192186,2,1,1
plot546,20,6,2HYldAC,19,SB192206,2,1,1
plot547,15,5,2HYldAC,20,SB192155,2,1,1
plot548,18,5,2HYldAC,21,SB192185,2,1,1
plot549,16,8,2HYldAC,22,SB192168,2,1,1
plot550,19,5,2HYldAC,23,SB192195,2,1,1
plot551,55,6,2HYldS,1,SBCH15815,2,1,1
plot552,18,4,2HYldAC,24,SB192184,2,1,1
plot553,17,5,2HYldAC,25,SB192175,2,1,1
plot554,15,7,2HYldAC,26,SB192157,2,1,1
plot555,19,3,2HYldAC,27,SB192193,2,1,1
plot556,17,8,2HYldAC,28,SB192178,2,1,1
plot557,16,7,2HYldAC,29,SB192167,2,1,1
plot558,16,6,2HYldAC,30,SB192166,2,1,1
plot559,19,6,2HYldAC,31,SB192196,2,1,1
plot560,17,7,2HYldAC,32,SB192177,2,1,1
plot561,18,8,2HYldAC,33,SB192188,2,1,1
plot562,17,6,2HYldAC,34,SB192176,2,1,1
plot563,15,6,2HYldAC,35,SB192156,2,1,1
plot564,15,8,2HYldAC,36,SB192158,2,1,1
plot565,57,3,2HYldP,32,SB1922837,2,2,1
plot566,58,3,2HYldP,16,SB1923135,2,2,1
plot567,59,3,2HYldP,15,SB1923138,2,2,1
plot568,60,3,2HYldP,28,SB1922833,2,2,1
plot569,61,3,2HYldP,35,SB1922733,2,2,1
plot570,62,3,2HYldP,25,SB1922737,2,2,1
plot571,57,4,2HYldP,8,SB1923133,2,2,1
plot572,58,4,2HYldP,1,SBCH15815,2,2,1
plot573,59,4,2HYldP,26,SB1923136,2,2,1
plot574,60,4,2HYldP,27,SB1923036,2,2,1
plot575,61,4,2HYldP,22,SB1922935,2,2,1
plot576,62,4,2HYldP,30,SB1923035,2,2,1
plot577,57,5,2HYldP,3,SBCH15535,2,2,1
plot578,58,5,2HYldP,11,SB1922934,2,2,1
plot579,59,5,2HYldP,7,SB1923037,2,2,1
plot580,60,5,2HYldP,17,SB1922734,2,2,1
plot581,61,5,2HYldP,12,SB1922738,2,2,1
plot582,62,5,2HYldP,14,SB1922735,2,2,1
plot583,57,6,2HYldP,18,SB1922938,2,2,1
plot584,58,6,2HYldP,5,SB1923038,2,2,1
plot585,59,6,2HYldP,19,SB1922937,2,2,1
plot586,60,6,2HYldP,20,SB1922736,2,2,1
plot587,61,6,2HYldP,21,SB1922936,2,2,1
plot588,62,6,2HYldP,10,SB1923033,2,2,1
plot589,57,7,2HYldP,4,SB1923233,2,2,1
plot590,58,7,2HYldP,33,SB1923034,2,2,1
plot591,59,7,2HYldP,34,SB1923235,2,2,1
plot592,60,7,2HYldP,23,SB1922838,2,2,1
plot593,61,7,2HYldP,2,SBCH15423,2,2,1
plot594,62,7,2HYldP,13,SB1922835,2,2,1
plot595,57,8,2HYldP,6,SB1923238,2,2,1
plot596,58,8,2HYldP,36,SB1923237,2,2,1
plot597,59,8,2HYldP,29,SB1922834,2,2,1
plot598,60,8,2HYldP,9,SB1922836,2,2,1
plot599,61,8,2HYldP,24,SB1922933,2,2,1
plot600,62,8,2HYldP,31,SB1923134,2,2,1
plot601,63,3,Border,141,B1000,2,0,1
plot602,63,4,Border,142,B1000,2,0,1
plot603,63,5,Border,143,B1000,2,0,1
plot604,63,6,Border,144,B1000,2,0,1
plot605,63,7,Border,145,B1000,2,0,1
plot606,63,8,Border,146,B1000,2,0,1
plot607,64,3,Border,147,B1000,2,0,1
plot608,64,4,Border,148,B1000,2,0,1
plot609,64,5,Border,149,B1000,2,0,1
plot610,64,6,Border,150,B1000,2,0,1
plot611,64,7,Border,151,B1000,2,0,1
plot612,64,8,Border,152,B1000,2,0,1
plot613,1,9,Border,153,B1000,2,0,2
plot614,2,9,Border,154,B1000,2,0,2
plot615,37,34,2HYldAD,4,SB1923734,2,1,6
plot616,37,38,2HYldAD,5,SB1923738,2,1,6
plot617,36,36,2HYldAD,6,SB1923636,2,1,6
plot618,6,9,2HYldF,1,SBCH15815,2,1,2
plot619,38,37,2HYldAD,7,SB1923837,2,1,6
plot620,37,36,2HYldAD,8,SB1923736,2,1,6
plot621,1,10,Border,155,B1000,2,0,2
plot622,2,10,Border,156,B1000,2,0,2
